RedField(Td)          PowerField(eVm^3s^-1) PwrElaGain(eVm^3s^-1) PwrElaLoss(eVm^3s^-1) PwrElaNet(eVm^3s^-1)  PwrCARGain(eVm^3s^-1) PwrCARLoss(eVm^3s^-1) PwrCARNet(eVm^3s^-1)  PwrEleGain(eVm^3s^-1) PwrEleLoss(eVm^3s^-1) PwrEleNet(eVm^3s^-1)  PwrVibGain(eVm^3s^-1) PwrVibLoss(eVm^3s^-1) PwrVibNet(eVm^3s^-1)  PwrRotGain(eVm^3s^-1) PwrRotLoss(eVm^3s^-1) PwrRotNet(eVm^3s^-1)  PwrIon(eVm^3s^-1)     PwrAtt(eVm^3s^-1)     PwrGroth(eVm^3s^-1)   PwrBalance(eVm^3s^-1) RelPwrBalance         
+1.98882785698881e-02 +7.00087268175033e-22 +9.59965769801273e-20 -6.11284806948422e-20 +3.48680962852851e-20 +8.60214837188170e-21 -5.69092155080832e-21 +2.91122682107338e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56552786244703e-23 -4.77726269825050e-20 -4.77069717038806e-20 +1.25802778522743e-19 -1.16575217193396e-19 +9.22756132934755e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +5.05556610401649e-34 2.18697336334459e-13%
+2.04466066657912e-02 +7.39946997629299e-22 +9.59964869636887e-20 -6.11317527953888e-20 +3.48647341682999e-20 +8.60197837562896e-21 -5.69106991318887e-21 +2.91090846244009e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56560005123948e-23 -4.78077223735555e-20 -4.77420663730431e-20 +1.25801887036812e-19 -1.16575410292141e-19 +9.22647674467059e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -3.15371028393410e-33 1.36402640616629e-12%
+2.10206088313016e-02 +7.82076190037408e-22 +9.59963918598920e-20 -6.11352083631144e-20 +3.48611834967776e-20 +8.60179890459667e-21 -5.69122658521458e-21 +2.91057231938209e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56567626337814e-23 -4.78448206759107e-20 -4.77791639132770e-20 +1.25800945615011e-19 -1.16575613707929e-19 +9.22533190708157e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.75741107425335e-33 7.59971834139276e-13%
+2.16107250880838e-02 +8.26604064093066e-22 +9.59962913835220e-20 -6.11388575160623e-20 +3.48574338674597e-20 +8.60160944286360e-21 -5.69139202410029e-21 +2.91021741876331e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56575671791854e-23 -4.78840364763754e-20 -4.78183789091962e-20 +1.25799951509274e-19 -1.16575827950375e-19 +9.22412355889835e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.81759638501545e-32 7.85851307624554e-12%
+2.22174078106288e-02 +8.73667196412291e-22 +9.59961852336467e-20 -6.11427109106392e-20 +3.48534743230075e-20 +8.60140944782674e-21 -5.69156671126493e-21 +2.90984273656182e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56584164524054e-23 -4.79254909491686e-20 -4.78598325327162e-20 +1.25798901826007e-19 -1.16576053549262e-19 +9.22284827674475e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.02555769538620e-32 4.43319882751531e-12%
+2.28411220730382e-02 +9.23409940559672e-22 +9.59960730927842e-20 -6.11467797679521e-20 +3.48492933248320e-20 +8.60119834898589e-21 -5.69175115350104e-21 +2.90944719548485e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56593128756308e-23 -4.79693122380964e-20 -4.79036529252208e-20 +1.25797793519051e-19 -1.16576291054703e-19 +9.22150246434799e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +3.75556339155511e-33 1.62308595803615e-12%
+2.34823460055428e-02 +9.75984869944025e-22 +9.59959546260282e-20 -6.11510759011857e-20 +3.48448787248426e-20 +8.60097554669379e-21 -5.69194588418833e-21 +2.90902966250546e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56602589947367e-23 -4.80156358614608e-20 -4.79499756024661e-20 +1.25796623382385e-19 -1.16576541037201e-19 +9.22008234518360e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +9.58150147332650e-33 4.14003640233097e-12%
+2.41415711610302e-02 +1.03155324594378e-21 +9.59958294801346e-20 -6.11556117440080e-20 +3.48402177361266e-20 +8.60074041086862e-21 -5.69215146455110e-21 +2.90858894631752e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56612574847321e-23 -4.80646051408123e-20 -4.79989438833276e-20 +1.25795388042552e-19 -1.16576804087604e-19 +9.21858395494897e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +9.34076023027809e-33 4.03507435442616e-12%
+2.48193028918626e-02 +1.09028551270015e-21 +9.59956972825621e-20 -6.11604003799669e-20 +3.48352969025952e-20 +8.60049227967928e-21 -5.69236848495685e-21 +2.90812379472243e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56623111553248e-23 -4.81163716551141e-20 -4.80507093439588e-20 +1.25794083950855e-19 -1.16577080816912e-19 +9.21700313394321e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +2.23889356035016e-33 9.66931590341985e-13%
+2.55160607372719e-02 +1.15236182009819e-21 +9.59955576404697e-20 -6.11654555729223e-20 +3.48301020675474e-20 +8.60023045820100e-21 -5.69259756625793e-21 +2.90763289194307e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56634229566107e-23 -4.81710957218848e-20 -4.81054322989282e-20 +1.25792707375272e-19 -1.16577371855927e-19 +9.21533551934513e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +5.63334508733266e-33 2.43229122819737e-12%
+2.62323788216312e-02 +1.21797257654241e-21 +9.59954101396688e-20 -6.11707917984939e-20 +3.48246183411750e-20 +8.59995421703935e-21 -5.69283936117542e-21 +2.90711485586394e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56645959848844e-23 -4.82289469069399e-20 -4.81632823109550e-20 +1.25791254392138e-19 -1.16577677854749e-19 +9.21357653738876e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.50463276905253e-32 6.49471708428200e-12%
+2.69688062639069e-02 +1.28731903322556e-21 +9.59952543435279e-20 -6.11764242764650e-20 +3.48188300670629e-20 +8.59966279093733e-21 -5.69309455572137e-21 +2.90656823521596e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56658334885268e-23 -4.82901045645075e-20 -4.82244387310190e-20 +1.25789720877578e-19 -1.16577999482042e-19 +9.21172139553670e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +2.20759719875387e-32 9.52627877739497e-12%
+2.77259075986048e-02 +1.36061390168597e-21 +9.59950897918287e-20 -6.11823690041533e-20 +3.48127207876754e-20 +8.59935537736148e-21 -5.69336387065983e-21 +2.90599150670165e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56671388739697e-23 -4.83547584095566e-20 -4.82890912706827e-20 +1.25788102498721e-19 -1.16578337424079e-19 +9.20976507464148e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +2.18352307444903e-32 9.41949919084008e-12%
+2.85042632085344e-02 +1.43808200655143e-21 +9.59949159995737e-20 -6.11886427906839e-20 +3.48062732088898e-20 +8.59903113507665e-21 -5.69364806300304e-21 +2.90538307207362e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56685157117067e-23 -4.84231091243846e-20 -4.83574406086728e-20 +1.25786394704687e-19 -1.16578692383521e-19 +9.20770232116555e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +7.51112678311022e-33 3.23917294481648e-12%
+2.93044697697214e-02 +1.51996097547574e-21 +9.59947324557420e-20 -6.11952632921177e-20 +3.47994691636242e-20 +8.59868918271369e-21 -5.69394792754020e-21 +2.90474125517349e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56699677423245e-23 -4.84953690015256e-20 -4.84296990337833e-20 +1.25784592717392e-19 -1.16579065077888e-19 +9.20552763950351e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -6.30742056786820e-33 2.71914185506793e-12%
+3.01271407088116e-02 +1.60650196838894e-21 +9.59945386219962e-20 -6.12022490473736e-20 +3.47922895746226e-20 +8.59832859733730e-21 -5.69426429839531e-21 +2.90406429894199e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56714988825253e-23 -4.85717626252785e-20 -4.85060911263960e-20 +1.25782691522168e-19 -1.16579456237700e-19 +9.20323528446784e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +2.53259787686922e-32 1.09141246620357e-11%
+3.09729066733141e-02 +1.69797044830290e-21 +9.59943339313363e-20 -6.12096195149022e-20 +3.47847144164341e-20 +8.59794841301687e-21 -5.69459805061199e-21 +2.90335036240488e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56731132311208e-23 -4.86525275943497e-20 -4.85868544811186e-20 +1.25780685858228e-19 -1.16579866604256e-19 +9.20081925397208e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -4.59815774222453e-33 1.98079816332330e-12%
+3.18424160150465e-02 +1.79464699604256e-21 +9.59941177867006e-20 -6.12173951098463e-20 +3.47767226768543e-20 +8.59754761943260e-21 -5.69495010175075e-21 +2.90259751768186e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56748150748815e-23 -4.87379152877830e-20 -4.86722404727081e-20 +1.25778570209048e-19 -1.16580296926911e-19 +9.19827328213743e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +8.04075751781671e-33 3.46240288398246e-12%
+3.27363352871525e-02 +1.89682817140768e-21 +9.59938895595167e-20 -6.12255972418701e-20 +3.47682923176466e-20 +8.59712516048595e-21 -5.69532141350926e-21 +2.90180374697668e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56766088943311e-23 -4.88281916775645e-20 -4.87625150686701e-20 +1.25776338792619e-19 -1.16580747959976e-19 +9.19559083264355e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +4.40556474778580e-33 1.89625422240443e-12%
+3.36553497550709e-02 +2.00482742341396e-21 +9.59936485881978e-20 -6.12342483531856e-20 +3.47594002350122e-20 +8.59667993297390e-21 -5.69571299333996e-21 +2.90096693963394e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56784993692747e-23 -4.89236381901367e-20 -4.88579596907674e-20 +1.25773985551711e-19 -1.16581220458982e-19 +9.19276509272880e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +2.15222671285274e-32 9.25948492955087e-12%
+3.46001639218511e-02 +2.11897605241288e-21 +9.59933941765902e-20 -6.12433719569073e-20 +3.47500222196829e-20 +8.59621078529842e-21 -5.69612589607290e-21 +2.90008488922552e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56804913841424e-23 -4.90245526203939e-20 -4.89588721290098e-20 +1.25771504144107e-19 -1.16581715176431e-19 +9.18978896767583e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -1.26148411357364e-32 5.42467032262973e-12%
+3.55715020682139e-02 +2.23962422705027e-21 +9.59931255923667e-20 -6.12529926752768e-20 +3.47401329170899e-20 +8.59571651626777e-21 -5.69656122551938e-21 +2.89915529074839e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56825900329437e-23 -4.91312501010853e-20 -4.90655675110523e-20 +1.25768887932955e-19 -1.16582232856780e-19 +9.18665507617433e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.05926146941298e-32 4.55277075256441e-12%
+3.65701088077749e-02 +2.36714205919194e-21 +9.59928420653748e-20 -6.12631362778553e-20 +3.47297057875195e-20 +8.59519587395779e-21 -5.69702013606284e-21 +2.89817573789495e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56848006239131e-23 -4.92440641316128e-20 -4.91783793309889e-20 +1.25766129977200e-19 -1.16582774230813e-19 +9.18335574638691e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +4.40556474778580e-33 1.89253044484658e-12%
+3.75967496578547e-02 +2.50192074012458e-21 +9.59925427859342e-20 -6.12738297191024e-20 +3.47187130668318e-20 +8.59464755470564e-21 -5.69750383420611e-21 +2.89714372049953e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56871286835954e-23 -4.93633476693339e-20 -4.92976605406503e-20 +1.25763223022279e-19 -1.16583340009075e-19 +9.17988301320427e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +9.79816859207006e-33 4.20670265883891e-12%
+3.86522116263126e-02 +2.64437374152794e-21 +9.59922269030918e-20 -6.12851011753464e-20 +3.47071257277454e-20 +8.59407020221392e-21 -5.69801358007672e-21 +2.89605662213719e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56895799604112e-23 -4.94894742879625e-20 -4.94237847080021e-20 +1.25760159491074e-19 -1.16583930874486e-19 +9.17622861658766e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -3.85185988877447e-33 1.65275783322085e-12%
+3.97373038148561e-02 +2.79493808491526e-21 +9.59918935228339e-20 -6.12969800806349e-20 +3.46949134421990e-20 +8.59346240681612e-21 -5.69855068886413e-21 +2.89491171795199e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56921604275103e-23 -4.96228394068452e-20 -4.95571472464177e-20 +1.25756931475273e-19 -1.16584547473915e-19 +9.17238400135802e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +6.57223593522144e-33 2.81824773096443e-12%
+4.08528580392856e-02 +2.95407568344937e-21 +9.59915417062622e-20 -6.13094971612620e-20 +3.46820445450001e-20 +8.59282270490999e-21 -5.69911653217945e-21 +2.89370617273055e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56948762848630e-23 -4.97638615959702e-20 -4.96981667196854e-20 +1.25753530727214e-19 -1.16585190408706e-19 +9.16834031850843e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +3.10556203532442e-33 1.33081637838368e-12%
+4.19997294671531e-02 +3.12227476026603e-21 +9.59911704677362e-20 -6.13226844684317e-20 +3.46684859993046e-20 +8.59214957860558e-21 -5.69971253931049e-21 +2.89243703929509e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.56977339603993e-23 -4.99129839611928e-20 -4.98472862272324e-20 +1.25749948652358e-19 -1.16585860223979e-19 +9.16408842837977e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.30963236218332e-32 5.60819373643766e-12%
+4.31787972733202e-02 +3.30005134767151e-21 +9.59907787729903e-20 -6.13365754087392e-20 +3.46542033642512e-20 +8.59144145560273e-21 -5.70034019835734e-21 +2.89110125724538e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57007401101131e-23 -5.00706756151100e-20 -5.00049748749999e-20 +1.25746176302490e-19 -1.16586557396652e-19 +9.15961890583807e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +6.25927231925852e-33 2.67840352711049e-12%
+4.43909653139217e-02 +3.48795087183180e-21 +9.59903655372297e-20 -6.13512047718816e-20 +3.46391607653481e-20 +8.59069670934407e-21 -5.70100105721939e-21 +2.88969565212468e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57039016169401e-23 -5.02374332386921e-20 -5.01717293370752e-20 +1.25742204369825e-19 -1.16587282322039e-19 +9.15492204778644e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.58407737925850e-32 6.77312395701504e-12%
+4.56371628192476e-02 +3.68654982783424e-21 +9.59899296232164e-20 -6.13666087551340e-20 +3.46233208680824e-20 +8.58991365946854e-21 -5.70169672441169e-21 +2.88821693505685e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57072255882799e-23 -5.04137827397682e-20 -5.03480755141799e-20 +1.25738023182156e-19 -1.16588035298931e-19 +9.14998788322495e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.85370757147271e-32 7.91945398075581e-12%
+4.69183451060780e-02 +3.89645755028199e-21 +9.59894698393527e-20 -6.13828249839128e-20 +3.46066448554399e-20 +8.58909057261793e-21 -5.70242886967788e-21 +2.88666170294004e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57107193519505e-23 -5.06002810142330e-20 -5.05345702948810e-20 +1.25733622699237e-19 -1.16588816513003e-19 +9.14480618623426e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.51666983120495e-32 6.47390472864619e-12%
+4.82354943100147e-02 +4.11831808487610e-21 +9.59889849377740e-20 -6.13998925278262e-20 +3.45890924099478e-20 +8.58822566362546e-21 -5.70319922437117e-21 +2.88502643925429e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57143904504178e-23 -5.07975178166491e-20 -5.07318034261986e-20 +1.25728992510583e-19 -1.16589626018459e-19 +9.13936649212445e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +3.97223051029867e-33 1.69398546611109e-12%
+4.95896201383721e-02 +4.35281216675275e-21 +9.59884736124631e-20 -6.14178519114547e-20 +3.45706217010084e-20 +8.58731709714294e-21 -5.70400958156698e-21 +2.88330751557595e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57182466330701e-23 -5.10061177471122e-20 -5.09403995004791e-20 +1.25724121834904e-19 -1.16590463717749e-19 +9.13365811715437e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.23500257683831e-32 5.26163415739706e-12%
+5.09817606442042e-02 +4.60065931167163e-21 +9.59879344974013e-20 -6.14367451191188e-20 +3.45511893782825e-20 +8.58636298974177e-21 -5.70486179587270e-21 +2.88150119386907e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57222958463537e-23 -5.12267423617563e-20 -5.11610200659099e-20 +1.25718999521385e-19 -1.16591329339281e-19 +9.12767018210436e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.75981848668384e-32 7.48987442036641e-12%
+5.24129830220606e-02 +4.86262002650157e-21 +9.59873661647706e-20 -6.14566155927235e-20 +3.45307505720471e-20 +8.58536141255319e-21 -5.70575778289065e-21 +2.87960362966254e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57265462214999e-23 -5.14600924145781e-20 -5.13943658683566e-20 +1.25713614053087e-19 -1.16592222412924e-19 +9.12139164016277e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.74296659967045e-32 7.41010951733253e-12%
+5.38843844260822e-02 +5.13949814581628e-21 +9.59867671232273e-20 -6.14775082218243e-20 +3.45092589014029e-20 +8.58431039448724e-21 -5.70669951829516e-21 +2.87761087619208e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57310060596407e-23 -5.17069102388965e-20 -5.16411792328369e-20 +1.25707953552695e-19 -1.16593142243263e-19 +9.11481130943217e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +6.57223593522144e-33 2.79094489330946e-12%
+5.53970928110640e-02 +5.43214330180345e-21 +9.59861358162655e-20 -6.14994693248932e-20 +3.44866664913723e-20 +8.58320792609258e-21 -5.70768903647557e-21 +2.87551888961701e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57356838140439e-23 -5.19679822770865e-20 -5.19022465932724e-20 +1.25702005790924e-19 -1.16594087880427e-19 +9.10791791049685e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.71407765050464e-32 7.27014997365205e-12%
+5.69522677971283e-02 +5.74145353510148e-21 +9.59854706206955e-20 -6.15225466207936e-20 +3.44629239999018e-20 +8.58205196410624e-21 -5.70872842869968e-21 +2.87332353540656e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57405880692296e-23 -5.22441417678673e-20 -5.21784011797981e-20 +1.25695758197852e-19 -1.16595058088445e-19 +9.10070010940704e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.88259652063852e-32 7.97472246959111e-12%
+5.85511015586724e-02 +6.06837805461352e-21 +9.59847698452583e-20 -6.15467891892741e-20 +3.44379806559842e-20 +8.58084043676310e-21 -5.70981984074212e-21 +2.87102059602098e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57457275166689e-23 -5.25362716007045e-20 -5.24705258731878e-20 +1.25689197877528e-19 -1.16596051310967e-19 +9.09314656656087e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -8.23335051225543e-33 3.48296785497839e-12%
+6.01948197382727e-02 +6.41392015480741e-21 +9.59840317294079e-20 -6.15722474193681e-20 +3.44117843100398e-20 +8.57957124991117e-21 -5.71096546992775e-21 +2.86860577998341e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57511109268301e-23 -5.28453073475441e-20 -5.27795562366173e-20 +1.25682311626147e-19 -1.16597065634340e-19 +9.08524599180652e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.98130043028837e-32 8.36960830827291e-12%
+6.18846823862439e-02 +6.77914029949600e-21 +9.59832544422889e-20 -6.15989729445511e-20 +3.43842814977378e-20 +8.57824229398485e-21 -5.71216756153837e-21 +2.86607473244648e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57567471173277e-23 -5.31722404829009e-20 -5.31064837357836e-20 +1.25675085954140e-19 -1.16598098748023e-19 +9.07698720611719e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.38185473509784e-32 5.82860684280613e-12%
+6.36219849265749e-02 +7.16515938160648e-21 +9.59824360819414e-20 -6.16270185631879e-20 +3.43554175187535e-20 +8.57685145191628e-21 -5.71342840451502e-21 +2.86342304740126e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57626449168296e-23 -5.35181218030381e-20 -5.34523591581213e-20 +1.25667507112561e-19 -1.16599147902206e-19 +9.06835921035493e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -5.12778847693102e-33 2.15945329079100e-12%
+6.54080591499826e-02 +7.57316216898778e-21 +9.59815746747720e-20 -6.16564381431949e-20 +3.43251365315771e-20 +8.57539660800759e-21 -5.71475032641102e-21 +2.86064628159656e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57688131245745e-23 -5.38840650565225e-20 -5.38182962433979e-20 +1.25659561124074e-19 -1.16600209862820e-19 +9.05935126125370e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.72370730022658e-32 7.24686864731711e-12%
+6.72442742348425e-02 +8.00440094687923e-21 +9.59806681753252e-20 -6.16872865095197e-20 +3.42933816658055e-20 +8.57387565782211e-21 -5.71613568753322e-21 +2.85773997028889e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57752604652295e-23 -5.42712507984091e-20 -5.42054755379439e-20 +1.25651233818918e-19 -1.16601280863948e-19 +9.04995295497003e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 -1.68518870133883e-34 7.07242453148731e-14%
+6.91320377967813e-02 +8.46019936826942e-21 +9.59797144663966e-20 -6.17196193130010e-20 +3.42600951533956e-20 +8.57228651915469e-21 -5.71758687420885e-21 +2.85469964494584e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57819955388293e-23 -5.46809304806618e-20 -5.46151484851229e-20 +1.25642510876242e-19 -1.16602356557724e-19 +9.04015431851753e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +5.46482621719878e-33 2.28921536787974e-12%
+7.10727969677342e-02 +8.94195652401112e-21 +9.59787113595326e-20 -6.17534928795306e-20 +3.42252184800020e-20 +8.57062714407910e-21 -5.71910629113524e-21 +2.85152085294386e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57890267657337e-23 -5.51144307927064e-20 -5.50486417659406e-20 +1.25633377871062e-19 -1.16603431962059e-19 +9.02994590900287e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.92352253195675e-32 8.04180282304177e-12%
+7.30680395052950e-02 +9.45115124523624e-21 +9.59776565959588e-20 -6.17889640380629e-20 +3.41886925578958e-20 +8.56889553212524e-21 -5.72069635275048e-21 +2.84819917937476e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.57963623263840e-23 -5.55731582657021e-20 -5.55073619033758e-20 +1.25623820327255e-19 -1.16604501406385e-19 +9.01931892086968e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +7.22223729145213e-34 3.01319122328073e-13%
+7.51192949332097e-02 +9.98934665132628e-21 +9.59765478479864e-20 -6.18260899263365e-20 +3.41504579216499e-20 +8.56708974458548e-21 -5.72235947358090e-21 +2.84473027100458e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.58040100958153e-23 -5.60586041550690e-20 -5.59928001449731e-20 +1.25613823776835e-19 -1.16605558475833e-19 +9.00826530100131e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +8.88335186848613e-33 3.69812050807143e-12%
+7.72281357138865e-02 +1.05581949574472e-20 +9.59753827209435e-20 -6.18649277732897e-20 +3.41104549476539e-20 +8.56520791993594e-21 -5.72409805752874e-21 +2.84110986240720e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.58119775729526e-23 -5.65723496164517e-20 -5.65065376388787e-20 +1.25603373825768e-19 -1.16606595954387e-19 +8.99677787138192e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.14833572934089e-32 4.76947046841685e-12%
+7.93961784538228e-02 +1.11594425564535e-20 +9.59741587556818e-20 -6.19055346570925e-20 +3.40686240985893e-20 +8.56324829036128e-21 -5.72591448606082e-21 +2.83733380430046e-21 +0.00000000000000e+00 +0.00000000000000e+00 +0.00000000000000e+00 +6.58202718047150e-23 -5.71160711901353e-20 -5.70502509183306e-20 +1.25592456226568e-19 -1.16607605767566e-19 +8.98485045900125e-21 +0.00000000000000e+00 +0.00000000000000e+00 -0.00000000000000e+00 +1.38666955995881e-32 5.74534952855852e-12%
