RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+1.31898689619867e-03 +2.90001457612994e+22 +1.76991291530322e+24 +2.33449194269773e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788063523333e+21 +7.28253691931690e+22 +2.46141102743021e-02 +1.63850692938365e-02 +1.64094068495347e-02 
+1.35601511056563e-03 +2.90001527933407e+22 +1.76991292135002e+24 +2.40002866573599e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788114525118e+21 +7.28253871806733e+22 +2.46141162014739e-02 +1.63850732109581e-02 +1.64094108009826e-02 
+1.39408282628258e-03 +2.90001602257205e+22 +1.76991292774109e+24 +2.46740521657937e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788168430485e+21 +7.28254061922178e+22 +2.46141224660832e-02 +1.63850773510835e-02 +1.64094149773888e-02 
+1.43321922550357e-03 +2.90001680812327e+22 +1.76991293449602e+24 +2.53667324518714e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788225404754e+21 +7.28254262861077e+22 +2.46141290873424e-02 +1.63850817269101e-02 +1.64094193915616e-02 
+1.47345430961984e-03 +2.90001763839626e+22 +1.76991294163553e+24 +2.60788585150480e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788285622615e+21 +7.28254475239522e+22 +2.46141360855528e-02 +1.63850863518542e-02 +1.64094240570352e-02 
+1.51481892225835e-03 +2.90001851593677e+22 +1.76991294918153e+24 +2.68109762617025e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788349268713e+21 +7.28254699708700e+22 +2.46141434821719e-02 +1.63850912400966e-02 +1.64094289881146e-02 
+1.55734477292614e-03 +2.90001944343525e+22 +1.76991295715715e+24 +2.75636469236292e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788416538185e+21 +7.28254936956808e+22 +2.46141512998768e-02 +1.63850964066238e-02 +1.64094341999179e-02 
+1.60106446131832e-03 +2.90002042373598e+22 +1.76991296558684e+24 +2.83374474882761e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788487637324e+21 +7.28255187711397e+22 +2.46141595626415e-02 +1.63851018672798e-02 +1.64094397084277e-02 
+1.64601150230855e-03 +2.90002145984440e+22 +1.76991297449648e+24 +2.91329711410635e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788562784114e+21 +7.28255452741243e+22 +2.46141682957983e-02 +1.63851076388060e-02 +1.64094455305322e-02 
+1.69222035164104e-03 +2.90002255493749e+22 +1.76991298391338e+24 +2.99508277201193e+00 +0.00000000000000e+00 +0.00000000000000e+00 +1.06788642208982e+21 +7.28255732858993e+22 +2.46141775261251e-02 +1.63851137388990e-02 +1.64094516840834e-02 
