RedField(Td)          RedDiff((ms)^-1)      RedMob((msV)^-1)      DriftVelocity(ms^-1)  RedTow(m^2)           RedAtt(m^2)           RedDiffE(eV(ms)^-1)   RedMobE(eV(msV)^-1)   MeanE(eV)             CharE(eV)             EleTemp(eV)           
+1.27706330130864e-02 +2.90115682075361e+22 +1.76992276103486e+24 +2.26030340426848e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06870931488689e+21 +7.28545876041837e+22 +2.46237379249747e-02 +1.63914317880026e-02 +1.64158252833165e-02 
+1.31291458521247e-02 +2.90122235797743e+22 +1.76992332737286e+24 +2.32375815121561e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06875687539612e+21 +7.28562640671485e+22 +2.46242903127396e-02 +1.63917968259325e-02 +1.64161935418264e-02 
+1.34977233023394e-02 +2.90129160327479e+22 +1.76992392592213e+24 +2.38899434182873e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06880712855466e+21 +7.28580353876635e+22 +2.46248739536345e-02 +1.63921825157723e-02 +1.64165826357563e-02 
+1.38766479098131e-02 +2.90136476505221e+22 +1.76992455851251e+24 +2.45606199254095e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06886022589639e+21 +7.28599068975004e+22 +2.46254906041018e-02 +1.63925900180209e-02 +1.64169937360679e-02 
+1.42662101526074e-02 +2.90144206326550e+22 +1.76992522707754e+24 +2.52501252438896e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06891632737612e+21 +7.28618842239555e+22 +2.46261421179105e-02 +1.63930205574633e-02 +1.64174280786070e-02 
+1.46667086634397e-02 +2.90152373004229e+22 +1.76992593366026e+24 +2.59589880248615e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06897560182593e+21 +7.28639733057854e+22 +2.46268304514007e-02 +1.63934754266347e-02 +1.64178869676005e-02 
+1.50784504586105e-02 +2.90161001033379e+22 +1.76992668041935e+24 +2.66877517660762e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06903822743369e+21 +7.28661804098909e+22 +2.46275576689745e-02 +1.63939559894442e-02 +1.64183717793163e-02 
+1.55017511733577e-02 +2.90170116259888e+22 +1.76992746963568e+24 +2.74369752291830e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06910439224568e+21 +7.28685121488312e+22 +2.46283259488592e-02 +1.63944636849789e-02 +1.64188839659061e-02 
+1.59369353038178e-02 +2.90179745952335e+22 +1.76992830371913e+24 +2.82072328687677e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06917429469514e+21 +7.28709754992356e+22 +2.46291375891664e-02 +1.63950000315032e-02 +1.64194250594442e-02 
+1.63843364557798e-02 +2.90189918877328e+22 +1.76992918521583e+24 +2.89991152734804e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06924814415662e+21 +7.28735778210950e+22 +2.46299950142384e-02 +1.63955666306470e-02 +1.64199966761589e-02 
+1.68442976004232e-02 +2.90200665378481e+22 +1.76993011681579e+24 +2.98132296195969e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06932616152766e+21 +7.28763268779822e+22 +2.46309007813012e-02 +1.63961651717962e-02 +1.64206005208674e-02 
+1.73171713372335e-02 +2.90212017459165e+22 +1.76993110136096e+24 +3.06502001373662e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06940857983869e+21 +7.28792308582424e+22 +2.46318575874346e-02 +1.63967974366918e-02 +1.64212383916231e-02 
+1.78033201643011e-02 +2.90224008869229e+22 +1.76993214185373e+24 +3.15106685905092e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06949564489294e+21 +7.28822983971999e+22 +2.46328682768769e-02 +1.63974653042497e-02 +1.64219121845846e-02 
+1.83031167562061e-02 +2.90236675195773e+22 +1.76993324146582e+24 +3.23952947692392e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06958761593676e+21 +7.28855386004053e+22 +2.46339358486702e-02 +1.63981707556046e-02 +1.64226238991135e-02 
+1.88169442497056e-02 +2.90250053957928e+22 +1.76993440354778e+24 +3.33047569971945e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06968476636084e+21 +7.28889610679109e+22 +2.46350634646436e-02 +1.63989158793756e-02 +1.64233756430957e-02 
+1.93451965374405e-02 +2.90264184706184e+22 +1.76993563163889e+24 +3.42397526526732e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06978738443535e+21 +7.28925759197115e+22 +2.46362544577773e-02 +1.63997028771837e-02 +1.64241696385182e-02 
+1.98882785698881e-02 +2.90279109125896e+22 +1.76993692947765e+24 +3.52009987045839e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.06989577407760e+21 +7.28963938222609e+22 +2.46375123409206e-02 +1.64005340694012e-02 +1.64250082272804e-02 
+2.04466066657912e-02 +2.90294871145481e+22 +1.76993830101279e+24 +3.61892322635272e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07001025565524e+21 +7.29004260161875e+22 +2.46388408159020e-02 +1.64014119011589e-02 +1.64258938772680e-02 
+2.10206088313016e-02 +2.90311517049226e+22 +1.76993975041491e+24 +3.72052111484434e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07013116682518e+21 +7.29046843452004e+22 +2.46402437830284e-02 +1.64023389486095e-02 +1.64268291886856e-02 
+2.16107250880838e-02 +2.90329095594813e+22 +1.76994128208867e+24 +3.82497144692688e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07025886340885e+21 +7.29091812862016e+22 +2.46417253509808e-02 +1.64033179254513e-02 +1.64278169006538e-02 
+2.22174078106288e-02 +2.90347658135675e+22 +1.76994290068568e+24 +3.93235432260611e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07039372030532e+21 +7.29139299806439e+22 +2.46432898471149e-02 +1.64043516897180e-02 +1.64288598980766e-02 
+2.28411220730382e-02 +2.90367258748165e+22 +1.76994461111803e+24 +4.04275209250630e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07053613244191e+21 +7.29189442671243e+22 +2.46449418281677e-02 +1.64054432508341e-02 +1.64299612187784e-02 
+2.34823460055428e-02 +2.90387954363750e+22 +1.76994641857249e+24 +4.15624942121905e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07068651576468e+21 +7.29242387152721e+22 +2.46466860913848e-02 +1.64065957769476e-02 +1.64311240609232e-02 
+2.41415711610302e-02 +2.90409804906213e+22 +1.76994832852550e+24 +4.27293335244449e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07084530826827e+21 +7.29298286609219e+22 +2.46485276860691e-02 +1.64078126025377e-02 +1.64323517907127e-02 
+2.48193028918626e-02 +2.90432873433658e+22 +1.76995034675881e+24 +4.39289337597641e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07101297106488e+21 +7.29357302425296e+22 +2.46504719255320e-02 +1.64090972362873e-02 +1.64336479503547e-02 
+2.55160607372719e-02 +2.90457226285556e+22 +1.76995247937603e+24 +4.51622149658437e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07118998949392e+21 +7.29419604388827e+22 +2.46525243994676e-02 +1.64104533692312e-02 +1.64350162663117e-02 
+2.62323788216312e-02 +2.90482933234725e+22 +1.76995473281987e+24 +4.64301230484700e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07137687427199e+21 +7.29485371080875e+22 +2.46546909867414e-02 +1.64118848831761e-02 +1.64364606578276e-02 
+2.69688062639069e-02 +2.90510067643984e+22 +1.76995711389029e+24 +4.77336304999311e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07157416268214e+21 +7.29554790277605e+22 +2.46569778685693e-02 +1.64133958593751e-02 +1.64379852457128e-02 
+2.77259075986048e-02 +2.90538706627513e+22 +1.76995962976348e+24 +4.90737371480831e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07178241980291e+21 +7.29628059364395e+22 +2.46593915420916e-02 +1.64149905874598e-02 +1.64395943613944e-02 
+2.85042632085344e-02 +2.90568931216639e+22 +1.76996228801176e+24 +5.04514709266668e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07200223977584e+21 +7.29705385761393e+22 +2.46619388343167e-02 +1.64166735746128e-02 +1.64412925562111e-02 
+2.93044697697214e-02 +2.90600826529808e+22 +1.76996509662434e+24 +5.18678886674901e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07223424711036e+21 +7.29786987359970e+22 +2.46646269164145e-02 +1.64184495549680e-02 +1.64430846109430e-02 
+3.01271407088116e-02 +2.90634481946471e+22 +1.76996806402910e+24 +5.33240769151075e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07247909802457e+21 +7.29873092969333e+22 +2.46674633183364e-02 +1.64203234992207e-02 +1.64449755455576e-02 
+3.09729066733141e-02 +2.90669991284677e+22 +1.76997119911513e+24 +5.48211527646468e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07273748182121e+21 +7.29963942772830e+22 +2.46704559437432e-02 +1.64223006244391e-02 +1.64469706291621e-02 
+3.18424160150465e-02 +2.90707452981117e+22 +1.76997451125656e+24 +5.63602647234599e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07301012229147e+21 +7.30059788790747e+22 +2.46736130851362e-02 +1.64243864040017e-02 +1.64490753900908e-02 
+3.27363352871525e-02 +2.90746970274491e+22 +1.76997801033695e+24 +5.79425935972773e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07329777915181e+21 +7.30160895351832e+22 +2.46769434392632e-02 +1.64265865777136e-02 +1.64512956261755e-02 
+3.36553497550709e-02 +2.90788651389957e+22 +1.76998170677503e+24 +5.95693534015910e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07360124950107e+21 +7.30267539567850e+22 +2.46804561226103e-02 +1.64289071619720e-02 +1.64536374150735e-02 
+3.46001639218511e-02 +2.90832609725290e+22 +1.76998561155111e+24 +6.12417922989864e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07392136930097e+21 +7.30380011812785e+22 +2.46841606870327e-02 +1.64313544600185e-02 +1.64561071246885e-02 
+3.55715020682139e-02 +2.90878964036558e+22 +1.76998973623474e+24 +6.29611935631913e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07425901486785e+21 +7.30498616201160e+22 +2.46880671353385e-02 +1.64339350721513e-02 +1.64587114235590e-02 
+3.65701088077749e-02 +2.90927838623815e+22 +1.76999409301293e+24 +6.47288765706019e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07461510437758e+21 +7.30623671066679e+22 +2.46921859368668e-02 +1.64366559059295e-02 +1.64614572912445e-02 
+3.75967496578547e-02 +2.90979363514000e+22 +1.76999869471968e+24 +6.65461978201055e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07499059936743e+21 +7.30755509434158e+22 +2.46965280428234e-02 +1.64395241862075e-02 +1.64643520285490e-02 
+3.86522116263126e-02 +2.91033674641105e+22 +1.77000355486605e+24 +6.84145519820081e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07538650623467e+21 +7.30894479484834e+22 +2.47011049013780e-02 +1.64425474650039e-02 +1.64674032675853e-02 
+3.97373038148561e-02 +2.91090914021162e+22 +1.77000868767118e+24 +7.03353729769243e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07580387771690e+21 +7.31040945008884e+22 +2.47059284723155e-02 +1.64457336310679e-02 +1.64706189815437e-02 
+4.08528580392856e-02 +2.91151229921071e+22 +1.77001410809400e+24 +7.23101350854969e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07624381434769e+21 +7.31195285842684e+22 +2.47110112411603e-02 +1.64490909190883e-02 +1.64740074941069e-02 
+4.19997294671531e-02 +2.91214777018709e+22 +1.77001983186556e+24 +7.43403540898492e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07670746587153e+21 +7.31357898284262e+22 +2.47163662325530e-02 +1.64526279183989e-02 +1.64775774883687e-02 
+4.31787972733202e-02 +2.91281716552798e+22 +1.77002587552184e+24 +7.64275884476888e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07719603260818e+21 +7.31529195483135e+22 +2.47220070227545e-02 +1.64563535810979e-02 +1.64813380151696e-02 
+4.43909653139217e-02 +2.91352216459703e+22 +1.77003225643702e+24 +7.85734405000181e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07771076674817e+21 +7.31709607797355e+22 +2.47279477510360e-02 +1.64602772294207e-02 +1.64852985006907e-02 
+4.56371628192476e-02 +2.91426451494985e+22 +1.77003899285678e+24 +8.07795577134219e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07825297356514e+21 +7.31899583112167e+22 +2.47342031297706e-02 +1.64644085622449e-02 +1.64894687531804e-02 
+4.69183451060780e-02 +2.91504603336432e+22 +1.77004610393183e+24 +8.30476339579426e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07882401252395e+21 +7.32099587112051e+22 +2.47407884529499e-02 +1.64687576605439e-02 +1.64938589686333e-02 
+4.82354943100147e-02 +2.91586860665715e+22 +1.77005360975104e+24 +8.53794108215673e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.07942529826522e+21 +7.32310103498831e+22 +2.47477196028842e-02 +1.64733349916292e-02 +1.64984797352561e-02 
+4.95896201383721e-02 +2.91673419225061e+22 +1.77006153137416e+24 +8.77766789623899e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.08005830144268e+21 +7.32531634146700e+22 +2.47550130547808e-02 +1.64781514119808e-02 +1.65033420365205e-02 
+5.09817606442042e-02 +2.91764481845372e+22 +1.77006989086373e+24 +9.02412794995273e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.08072454938909e+21 +7.32764699185074e+22 +2.47626858788980e-02 +1.64832181684646e-02 +1.65084572525987e-02 
+5.24129830220606e-02 +2.91860258441446e+22 +1.77007871131589e+24 +9.27751054439107e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.08142562658177e+21 +7.33009836998229e+22 +2.47707557399087e-02 +1.64885468976956e-02 +1.65138371599391e-02 
+5.38843844260822e-02 +2.91960965970198e+22 +1.77008801688969e+24 +9.53801031700857e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.08216317487950e+21 +7.33267604131274e+22 +2.47792408931257e-02 +1.64941496233174e-02 +1.65194939287505e-02 
+5.53970928110640e-02 +2.92066828347001e+22 +1.77009783283438e+24 +9.80582739301896e+01 +0.00000000000000e+00 +0.00000000000000e+00 +1.08293889349747e+21 +7.33538575090024e+22 +2.47881601771768e-02 +1.65000387509275e-02 +1.65254401181179e-02 
+5.69522677971283e-02 +2.92178076315381e+22 +1.77010818551430e+24 +1.00811675411299e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.08375453868716e+21 +7.33823342022644e+22 +2.47975330027273e-02 +1.65062270603810e-02 +1.65316886684849e-02 
+5.85511015586724e-02 +2.92294947264382e+22 +1.77011910243084e+24 +1.03642423337374e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.08461192308182e+21 +7.34122514268557e+22 +2.48073793367688e-02 +1.65127276951581e-02 +1.65382528911792e-02 
+6.01948197382727e-02 +2.92417684988242e+22 +1.77013061224083e+24 +1.06552693117035e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.08551291466937e+21 +7.34436717760960e+22 +2.48177196820236e-02 +1.65195541484968e-02 +1.65451464546824e-02 
+6.18846823862439e-02 +2.92546539382878e+22 +1.77014274477059e+24 +1.09544721538442e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.08645943535326e+21 +7.34766594268904e+22 +2.48285750509984e-02 +1.65267202459874e-02 +1.65523833673323e-02 
+6.36219849265749e-02 +2.92681766072141e+22 +1.77015553102533e+24 +1.12620808512587e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.08745345905156e+21 +7.35112800460941e+22 +2.48399669340946e-02 +1.65342401242342e-02 +1.65599779560631e-02 
+6.54080591499826e-02 +2.92823625958648e+22 +1.77016900319269e+24 +1.15783318866293e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.08849700929484e+21 +7.35476006777090e+22 +2.48519172613371e-02 +1.65421282053019e-02 +1.65679448408914e-02 
+6.72442742348425e-02 +2.92972384692491e+22 +1.77018319463979e+24 +1.19034684186268e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.08959215627355e+21 +7.35856896091951e+22 +2.48644483571562e-02 +1.65503991665737e-02 +1.65762989047708e-02 
+6.91320377967813e-02 +2.93128312050885e+22 +1.77019813990319e+24 +1.22377404715579e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.09074101328336e+21 +7.36256162151236e+22 +2.48775828876394e-02 +1.65590679056366e-02 +1.65850552584263e-02 
+7.10727969677342e-02 +2.93291681223565e+22 +1.77021387467037e+24 +1.25814051303913e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.09194573252589e+21 +7.36674507768344e+22 +2.48913437998142e-02 +1.65681494999116e-02 +1.65942291998762e-02 
+7.30680395052950e-02 +2.93462767996890e+22 +1.77023043575219e+24 +1.29347267413017e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.09320850021107e+21 +7.37112642762958e+22 +2.49057542523728e-02 +1.65776591606389e-02 +1.66038361682486e-02 
+7.51192949332097e-02 +2.93641849831173e+22 +1.77024786104519e+24 +1.32979771178737e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.09453153091464e+21 +7.37571281627495e+22 +2.49208375373744e-02 +1.65876121809181e-02 +1.66138916915829e-02 
+7.72281357138865e-02 +2.93829204826274e+22 +1.77026618948280e+24 +1.36714357531082e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.09591706114739e+21 +7.38051140908608e+22 +2.49366169925123e-02 +1.65980238775345e-02 +1.66244113283415e-02 
+7.93961784538228e-02 +2.94025110570211e+22 +1.77028546097438e+24 +1.40553900373730e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.09736734208931e+21 +7.38552936290159e+22 +2.49531159035057e-02 +1.66089095262850e-02 +1.66354106023371e-02 
+8.16250851428723e-02 +2.94229842867508e+22 +1.77030571633130e+24 +1.44501354824456e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.09888463145308e+21 +7.39077379369043e+22 +2.49703573963424e-02 +1.66202842906284e-02 +1.66469049308950e-02 
+8.39165644283016e-02 +2.94443674344390e+22 +1.77032699717890e+24 +1.48559759517925e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.10047118444250e+21 +7.39625174116211e+22 +2.49883643191356e-02 +1.66321631435097e-02 +1.66589095460904e-02 
+8.62723729246145e-02 +2.94666872929535e+22 +1.77034934585354e+24 +1.52732238972324e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.10212924378066e+21 +7.40197013019283e+22 +2.50071591134884e-02 +1.66445607822939e-02 +1.66714394089923e-02 
+8.86943165601471e-02 +2.94899700210764e+22 +1.77037280528400e+24 +1.57022006021335e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.10386102879166e+21 +7.40793572907381e+22 +2.50267636754099e-02 +1.66574915368437e-02 +1.66845091169399e-02 
+9.11842519614657e-02 +2.95142409669918e+22 +1.77039741885633e+24 +1.61432364312924e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.10566872353079e+21 +7.41415510463457e+22 +2.50471992059738e-02 +1.66709692708759e-02 +1.66981328039826e-02 
+9.37440878766300e-02 +2.95395244800222e+22 +1.77042323026173e+24 +1.65966710876482e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.10755446396999e+21 +7.42063457434684e+22 +2.50684860520976e-02 +1.66850072768506e-02 +1.67123240347317e-02 
+9.63757866384109e-02 +2.95658437113430e+22 +1.77045028332701e+24 +1.70628538759838e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.10952032426390e+21 +7.42738015558954e+22 +2.50906435380612e-02 +1.66996181648113e-02 +1.67270956920408e-02 
+9.90813656685867e-02 +2.95932204046628e+22 +1.77047862182734e+24 +1.75421439737690e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.11156830213743e+21 +7.43439751232176e+22 +2.51136897886147e-02 +1.67148137457425e-02 +1.67424598590764e-02 
+1.01862899024469e-01 +2.96216746781751e+22 +1.77050828928146e+24 +1.80349107093063e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.11370030345617e+21 +7.44169189949048e+22 +2.51376415447831e-02 +1.67306049101847e-02 +1.67584276965221e-02 
+1.04722518988843e-01 +2.96512247994490e+22 +1.77053932872957e+24 +1.85415338473377e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.11591812606402e+21 +7.44926810559225e+22 +2.51625139737925e-02 +1.67470015030532e-02 +1.67750093158616e-02 
+1.07662417704549e-01 +2.96818869552981e+22 +1.77057178249453e+24 +1.90624038822815e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.11822344299739e+21 +7.45713039390277e+22 +2.51883204748480e-02 +1.67640121958115e-02 +1.67922136498987e-02 
+1.10684848854941e-01 +2.97136750191049e+22 +1.77060569192740e+24 +1.95979223392683e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.12061778521334e+21 +7.46528244299853e+22 +2.52150724828692e-02 +1.67816443573950e-02 +1.68100483219128e-02 
+1.13792129391532e-01 +2.97466003183953e+22 +1.77064109713866e+24 +2.01485020831566e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.12310252399316e+21 +7.47372728727776e+22 +2.52427792725556e-02 +1.67999039254570e-02 +1.68285195150371e-02 
+1.16986641310131e-01 +2.97806714060206e+22 +1.77067803671697e+24 +2.07145676357134e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.12567885321977e+21 +7.48246725832947e+22 +2.52714477656287e-02 +1.68187952798225e-02 +1.68476318437525e-02 
+1.20270833476851e-01 +2.98158938385678e+22 +1.77071654743763e+24 +2.12965555011576e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.12834777174915e+21 +7.49150392806803e+22 +2.53010823443211e-02 +1.68383211201780e-02 +1.68673882295474e-02 
+1.23647223505372e-01 +2.98522699662077e+22 +1.77075666396358e+24 +2.18949145002731e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.13111006613751e+21 +7.50083805470120e+22 +2.53316846746774e-02 +1.68584823503573e-02 +1.68877897831183e-02 
+1.27118399686903e-01 +2.98897987383462e+22 +1.77079841854216e+24 +2.25101061133178e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.13396629400207e+21 +7.51046953263970e+22 +2.53632535433639e-02 +1.68792779716584e-02 +1.69088356955759e-02 
+1.30687022974335e-01 +2.99284755299992e+22 +1.77084184070124e+24 +2.31426048319636e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.13691676833470e+21 +7.52039734759923e+22 +2.53957847121489e-02 +1.69007049879439e-02 +1.69305231414326e-02 
+1.34355829022083e-01 +2.99682919938670e+22 +1.77088695694917e+24 +2.37928985205299e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.13996154310065e+21 +7.53061953816199e+22 +2.54292707942632e-02 +1.69227583252945e-02 +1.69528471961755e-02 
+1.38127630283201e-01 +3.00092359434371e+22 +1.77093379048302e+24 +2.44614887867866e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.14310040048371e+21 +7.54113316515449e+22 +2.54637011571407e-02 +1.69454307691832e-02 +1.69758007714271e-02 
+1.42005318165368e-01 +3.00512912723789e+22 +1.77098236091031e+24 +2.51488913626323e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.14633284014747e+21 +7.55193429018657e+22 +2.54990618559858e-02 +1.69687129220938e-02 +1.69993745706572e-02 
+1.45991865247398e-01 +3.00944379155047e+22 +1.77103268398985e+24 +2.58556364949783e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.14965807089185e+21 +7.56301796469873e+22 +2.55353356026152e-02 +1.69925931845068e-02 +1.70235570684101e-02 
+1.50090327557974e-01 +3.01386518564240e+22 +1.77108477139721e+24 +2.65822693471947e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.15307500508734e+21 +7.57437823083216e+22 +2.55725017738951e-02 +1.70170577620898e-02 +1.70483345159301e-02 
+1.54303846918356e-01 +3.01839051865274e+22 +1.77113863052110e+24 +2.73293504115115e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.15658225624902e+21 +7.58600813531159e+22 +2.56105364636728e-02 +1.70420907016447e-02 +1.70736909757819e-02 
+1.58635653350859e-01 +3.02301662195411e+22 +1.77119426429648e+24 +2.80974559327967e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.16017814010092e+21 +7.59789975743534e+22 +2.56494125817661e-02 +1.70676739581406e-02 +1.70996083878441e-02 
+1.63089067554933e-01 +3.02773996651271e+22 +1.77125167108066e+24 +2.88871783441662e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.16386067944209e+21 +7.61004425207275e+22 +2.56891000029177e-02 +1.70937874947237e-02 +1.71260666686118e-02 
+1.67667503452770e-01 +3.03255668640709e+22 +1.77131084457802e+24 +2.96991267149214e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.16762761307950e+21 +7.62243190833575e+22 +2.57295657678281e-02 +1.71204094170695e-02 +1.71530438452187e-02 
+1.72374470806362e-01 +3.03746260866546e+22 +1.77137177381889e+24 +3.05339272113358e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.17147640904132e+21 +7.63505222435301e+22 +2.57707743375803e-02 +1.71475161429100e-02 +1.71805162250535e-02 
+1.77213577908036e-01 +3.04245328943630e+22 +1.77143444319760e+24 +3.13922235708577e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.17540428220144e+21 +7.64789399820894e+22 +2.58126879015352e-02 +1.71750826067511e-02 +1.72084586010234e-02 
+1.82188534346517e-01 +3.04752405639763e+22 +1.77149883257365e+24 +3.22746775903159e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.17940821638112e+21 +7.66094543483230e+22 +2.58552667378500e-02 +1.72030824991861e-02 +1.72368444919000e-02 
+1.87303153850644e-01 +3.05267005712837e+22 +1.77156491743956e+24 +3.31819696287585e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.18348499088325e+21 +7.67419426815885e+22 +2.58984696242300e-02 +1.72314885391860e-02 +1.72656464161534e-02 
+1.92561357212920e-01 +3.05788631304048e+22 +1.77163266915750e+24 +3.41147991255716e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.18763121133446e+21 +7.68762789757450e+22 +2.59422542954668e-02 +1.72602727770574e-02 +1.72948361969779e-02 
+1.97967175295133e-01 +3.06316777828413e+22 +1.77170205526574e+24 +3.50738851345540e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.19184334458958e+21 +7.70123353717254e+22 +2.59865779427403e-02 +1.72894069247139e-02 +1.73243852951602e-02 
+2.03524752118358e-01 +3.06850940290234e+22 +1.77177303985465e+24 +3.60599668746406e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.19611775735973e+21 +7.71499837601048e+22 +2.60313977485118e-02 +1.73188627091542e-02 +1.73542651656745e-02 
+2.09238348039698e-01 +3.07390619934909e+22 +1.77184558401059e+24 +3.70738042979808e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.20045075811142e+21 +7.72890974713879e+22 +2.60766714494676e-02 +1.73486122441397e-02 +1.73844476329784e-02 
+2.15112343018217e-01 +3.07935331136472e+22 +1.77191964632437e+24 +3.81161786760845e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.20483864169333e+21 +7.74295530286434e+22 +2.61223579189561e-02 +1.73786284144005e-02 +1.74149052793041e-02 
+2.21151239972549e-01 +3.08484608408133e+22 +1.77199518345981e+24 +3.91878932047521e+02 +0.00000000000000e+00 +0.00000000000000e+00 +1.20927773605207e+21 +7.75712319340020e+22 +2.61684177593451e-02 +1.74088852660321e-02 +1.74456118395634e-02 
